Title,City,Latitude,Longitude,Date,Severity,Type of threat,Attendees,Reported via,Reported incidents,Estimated cost,Confirmed %,Turnout rate,Priority,Police informed?,Notes
Banner drop in Cardiff #49,Cardiff,51.50703,-3.28395,2014-09-14,Moderate,Banner drop,1-10,Press report,145,8628,53.4,0.329,1,No,Details unverified — cross-check with the regional organiser before publishing anywhere
Banner drop in Newcastle #50,Newcastle,54.94667,-1.63432,2000-08-10,Critical,Banner drop,10-50,Anonymous tip,178,170,77.6,0.554,5,No,Council contacted; awaiting a response about CCTV coverage of the surrounding streets
Assault in Southampton #51,Southampton,50.96256,-1.40874,2020-06-13,Critical,Assault,1-10,Local branch,48,4485,17.5,0.697,3,No,
Vandalism in Stoke-on-Trent #52,Stoke-on-Trent,52.98683,-2.18031,2002-06-18,Critical,Vandalism,50-100,Anonymous tip,16,15334,6.9,0.879,3,No,Second occurrence at this location this year; residents have asked for a coordinated response
Leafleting in Exeter #53,Exeter,50.69134,-3.62626,2023-02-28,Low,Leafleting,500-1000,Anonymous tip,188,11359,83.9,0.602,4,Yes,
Harassment in Hull #54,Hull,53.83220,-0.29384,2024-03-09,Low,Harassment,100-500,Anonymous tip,110,3069,43.9,0.984,5,Yes,
Stickering in Cambridge #55,Cambridge,52.21816,0.05111,2004-05-05,,Stickering,50-100,Local branch,131,1568,70.8,0.471,3,No,Reported by a local member who witnessed the event first-hand and followed up with photos the next day
Demonstration in Birmingham #56,Birmingham,52.45545,-1.88791,2013-03-10,High,Demonstration,10-50,Social media,170,17578,32.6,0.355,4,No,Reported by a local member who witnessed the event first-hand and followed up with photos the next day
Leafleting in Southampton #57,Southampton,50.94754,-1.43696,2002-04-15,Low,Leafleting,50-100,Press report,28,10710,67.8,0.157,4,Yes,
Online abuse in Stoke-on-Trent #58,Stoke-on-Trent,52.94069,-2.12841,2008-12-16,Critical,Online abuse,100-500,Press report,174,14234,20.3,0.235,3,No,Details unverified — cross-check with the regional organiser before publishing anywhere
Vandalism in Aberdeen #59,Aberdeen,57.07695,-2.11809,2011-11-11,Critical,Vandalism,500-1000,Press report,56,17141,18.5,0.899,3,Yes,
Assault in Manchester #60,Manchester,53.42357,-2.18884,2005-02-23,,Assault,500-1000,Local branch,115,17985,11.3,0.729,4,No,
Banner drop in Cambridge #61,Cambridge,52.14770,0.12358,2010-08-05,Moderate,Banner drop,10-50,Press report,64,2455,10.7,0.775,1,No,Second occurrence at this location this year; residents have asked for a coordinated response
Stickering in Sheffield #62,Sheffield,53.39408,-1.56850,2001-06-13,Moderate,Stickering,100-500,Anonymous tip,185,370,36.2,0.794,5,No,Second occurrence at this location this year; residents have asked for a coordinated response
Banner drop in Brighton #63,Brighton,50.79002,-0.22703,,Moderate,Banner drop,100-500,Partner organisation,191,8077,11.4,0.586,2,Yes,Details unverified — cross-check with the regional organiser before publishing anywhere
Online abuse in Hull #64,Hull,53.71059,-0.31338,2006-11-09,Critical,Online abuse,1-10,Anonymous tip,128,17281,18.1,0.942,4,No,Details unverified — cross-check with the regional organiser before publishing anywhere
Banner drop in Plymouth #65,Plymouth,50.37944,-4.12819,2011-12-10,Moderate,Banner drop,100-500,Anonymous tip,44,836,29.9,0.861,4,No,
Banner drop in Aberdeen #66,Aberdeen,57.10525,-2.14449,2021-06-07,Critical,Banner drop,500-1000,Social media,199,250,54.0,0.889,2,,Council contacted; awaiting a response about CCTV coverage of the surrounding streets
Stickering in Norwich #67,Norwich,52.69020,1.29728,2020-05-26,Low,Stickering,50-100,Anonymous tip,5,11175,6.1,0.668,3,No,
Harassment in Sheffield #68,Sheffield,53.37886,-1.49324,2024-04-08,High,Harassment,1-10,Press report,143,644,30.1,0.733,2,No,Reported by a local member who witnessed the event first-hand and followed up with photos the next day
Assault in Sheffield #69,Sheffield,53.35159,-1.47889,2025-06-04,Low,Assault,100-500,Partner organisation,114,8107,33.3,0.203,5,Yes,Details unverified — cross-check with the regional organiser before publishing anywhere
Online abuse in Glasgow #70,Glasgow,55.89699,-4.18096,2008-10-26,Moderate,Online abuse,500-1000,Local branch,2,13582,21.7,0.476,2,No,
Demonstration in Cambridge #71,Cambridge,52.19331,0.07511,2014-11-15,Low,Demonstration,1-10,Anonymous tip,136,2796,93.3,0.334,1,,Council contacted; awaiting a response about CCTV coverage of the surrounding streets
Leafleting in Bradford #72,Bradford,53.78016,-1.81869,2005-02-13,High,Leafleting,50-100,Press report,174,4062,18.0,0.699,5,No,Reported by a local member who witnessed the event first-hand and followed up with photos the next day
Leafleting in Manchester #73,Manchester,53.53530,-2.32185,2015-09-13,Critical,Leafleting,50-100,Anonymous tip,130,17424,15.7,0.765,4,Yes,Details unverified — cross-check with the regional organiser before publishing anywhere
Banner drop in Sheffield #74,Sheffield,53.37614,-1.53692,2015-04-07,Moderate,Banner drop,1-10,Partner organisation,99,817,9.7,0.869,3,No,Reported by a local member who witnessed the event first-hand and followed up with photos the next day
Stickering in Nottingham #75,Nottingham,52.99036,-1.09910,2003-10-17,,Stickering,50-100,Anonymous tip,117,3306,41.7,0.821,2,,
Harassment in Nottingham #76,Nottingham,53.02591,-1.13584,2013-10-23,Low,Harassment,50-100,Anonymous tip,178,7074,41.2,0.950,5,Yes,Council contacted; awaiting a response about CCTV coverage of the surrounding streets
Vandalism in Dundee #77,Dundee,56.39150,-2.97242,,Critical,Vandalism,1-10,Partner organisation,187,15718,36.0,0.171,3,No,Reported by a local member who witnessed the event first-hand and followed up with photos the next day
Harassment in Coventry #78,Coventry,52.37607,-1.57453,2017-09-27,Critical,Harassment,10-50,Local branch,49,7487,49.2,0.757,3,No,Linked to a wider pattern of activity across the region according to partner organisations
Assault in Coventry #79,Coventry,52.40125,-1.59924,2021-01-22,,Assault,100-500,Local branch,110,6973,70.4,0.117,4,Yes,Linked to a wider pattern of activity across the region according to partner organisations
Demonstration in Glasgow #80,Glasgow,55.93918,-4.29184,2014-03-25,High,Demonstration,500-1000,Local branch,13,7648,97.1,0.169,1,No,
Assault in Newcastle #81,Newcastle,54.95867,-1.66389,2021-02-05,Critical,Assault,100-500,Anonymous tip,122,11654,14.5,0.358,3,Yes,Council contacted; awaiting a response about CCTV coverage of the surrounding streets
Harassment in Manchester #82,Manchester,53.52010,-2.28369,2026-10-08,Moderate,Harassment,50-100,Partner organisation,171,14502,50.3,0.852,5,Yes,Second occurrence at this location this year; residents have asked for a coordinated response
Demonstration in Belfast #83,Belfast,54.55853,-5.95484,2004-10-12,High,Demonstration,1-10,Anonymous tip,10,7500,70.2,0.449,2,Yes,Council contacted; awaiting a response about CCTV coverage of the surrounding streets
Harassment in Cambridge #84,Cambridge,52.17871,0.15221,2013-09-01,,Harassment,1-10,Local branch,82,3291,93.2,0.888,3,No,Second occurrence at this location this year; residents have asked for a coordinated response
Leafleting in Bradford #85,Bradford,53.78952,-1.76770,2023-05-04,Critical,Leafleting,1-10,Partner organisation,88,2983,15.9,0.947,2,Yes,
Assault in Dundee #86,Dundee,56.42105,-3.03117,2026-04-20,Moderate,Assault,10-50,Social media,13,2942,63.7,0.402,4,No,
Banner drop in York #87,York,53.99856,-1.02420,2001-11-05,High,Banner drop,50-100,Anonymous tip,128,15937,22.4,0.164,4,No,Linked to a wider pattern of activity across the region according to partner organisations
Online abuse in Liverpool #88,Liverpool,53.42486,-2.90159,2020-08-23,Moderate,Online abuse,100-500,Press report,51,15357,36.5,0.047,3,Yes,Second occurrence at this location this year; residents have asked for a coordinated response
Demonstration in Oxford #89,Oxford,51.68320,-1.26382,,Moderate,Demonstration,50-100,Press report,42,6054,13.5,0.730,4,Yes,Reported by a local member who witnessed the event first-hand and followed up with photos the next day
Stickering in Brighton #90,Brighton,50.79572,-0.13257,2009-06-17,High,Stickering,100-500,Social media,30,16280,25.9,0.409,2,Yes,Details unverified — cross-check with the regional organiser before publishing anywhere
Harassment in Exeter #91,Exeter,50.66546,-3.47205,2018-10-04,Low,Harassment,500-1000,Social media,146,2238,60.0,0.126,1,No,
Banner drop in Sheffield #92,Sheffield,53.33544,-1.51207,2012-11-04,Critical,Banner drop,500-1000,Anonymous tip,6,4054,35.7,0.842,5,No,Linked to a wider pattern of activity across the region according to partner organisations
Leafleting in Cambridge #93,Cambridge,52.15625,0.14805,2009-04-26,High,Leafleting,50-100,Anonymous tip,78,16004,71.7,0.164,1,No,Details unverified — cross-check with the regional organiser before publishing anywhere
Banner drop in York #94,York,53.94490,-1.02806,2023-10-25,,Banner drop,1-10,Anonymous tip,147,6612,47.6,0.579,3,Yes,
Vandalism in Leeds #95,Leeds,53.80706,-1.63713,2011-03-11,Critical,Vandalism,100-500,Press report,2,8738,90.1,0.130,4,No,Second occurrence at this location this year; residents have asked for a coordinated response
Online abuse in Cardiff #96,Cardiff,51.51147,-3.22712,2001-04-25,High,Online abuse,500-1000,Press report,13,7417,28.7,0.463,3,Yes,
Harassment in Liverpool #97,Liverpool,53.32668,-3.05672,2004-08-25,High,Harassment,100-500,Press report,74,3456,63.2,0.703,5,,Council contacted; awaiting a response about CCTV coverage of the surrounding streets
Leafleting in Edinburgh #98,Edinburgh,55.88177,-3.19766,2008-11-14,Low,Leafleting,1-10,Anonymous tip,178,11499,35.5,0.161,5,No,
Vandalism in Birmingham #99,Birmingham,52.43081,-1.90163,2026-04-26,,Vandalism,500-1000,Partner organisation,35,16394,0.8,0.325,5,No,Details unverified — cross-check with the regional organiser before publishing anywhere
Banner drop in Cardiff #100,Cardiff,51.49950,-3.18737,2015-01-07,Moderate,Banner drop,500-1000,Anonymous tip,103,10115,9.8,0.651,4,Yes,Linked to a wider pattern of activity across the region according to partner organisations
Leafleting in Coventry #101,Coventry,52.33935,-1.51780,2024-06-27,Low,Leafleting,10-50,Anonymous tip,87,8495,50.1,0.120,5,Yes,Details unverified — cross-check with the regional organiser before publishing anywhere
Online abuse in Aberdeen #102,Aberdeen,57.17506,-2.12223,2008-01-12,,Online abuse,10-50,Press report,126,659,25.1,0.981,2,No,Details unverified — cross-check with the regional organiser before publishing anywhere
Harassment in Birmingham #103,Birmingham,52.45254,-1.81553,2006-01-16,Critical,Harassment,1-10,Local branch,161,1306,69.7,0.755,4,Yes,Reported by a local member who witnessed the event first-hand and followed up with photos the next day
Stickering in Aberdeen #104,Aberdeen,57.11737,-2.06018,2021-06-20,Low,Stickering,500-1000,Social media,99,6831,57.0,0.843,4,No,Council contacted; awaiting a response about CCTV coverage of the surrounding streets
Stickering in Edinburgh #105,Edinburgh,55.98865,-3.20901,2006-08-02,Low,Stickering,N/A,Partner organisation,163,11222,41.2,0.954,5,Yes,Details unverified — cross-check with the regional organiser before publishing anywhere
Vandalism in Southampton #106,Southampton,50.90395,-1.35388,2024-03-25,Moderate,Vandalism,1-10,Social media,184,274,90.7,0.426,4,No,Second occurrence at this location this year; residents have asked for a coordinated response
Leafleting in London #107,London,51.59809,-0.10406,2015-06-08,Low,Leafleting,1-10,Press report,15,17072,60.0,0.204,3,Yes,Reported by a local member who witnessed the event first-hand and followed up with photos the next day
Demonstration in Manchester #108,Manchester,53.39563,-2.27593,2023-09-22,High,Demonstration,100-500,Anonymous tip,3,8227,70.4,0.230,1,Yes,Reported by a local member who witnessed the event first-hand and followed up with photos the next day
Online abuse in Leicester #109,Leicester,52.65263,-1.13600,2024-10-19,Low,Online abuse,1-10,Press report,165,13619,97.3,0.571,5,Yes,Reported by a local member who witnessed the event first-hand and followed up with photos the next day
Leafleting in Liverpool #110,Liverpool,53.49160,-3.01866,2003-11-14,High,Leafleting,1-10,Social media,124,16673,70.4,0.877,1,Yes,
Demonstration in Hull #111,Hull,53.68833,-0.22973,2022-01-27,High,Demonstration,1-10,Press report,170,10954,8.9,0.305,5,Yes,
Leafleting in Cambridge #112,Cambridge,52.20795,0.10054,2022-02-13,Critical,Leafleting,1-10,Anonymous tip,109,2767,68.2,0.144,5,No,Second occurrence at this location this year; residents have asked for a coordinated response
Demonstration in Glasgow #113,Glasgow,55.77722,-4.29341,2002-07-19,Low,Demonstration,100-500,Local branch,62,11879,55.2,0.618,3,Yes,Reported by a local member who witnessed the event first-hand and followed up with photos the next day
Demonstration in Brighton #114,Brighton,50.78575,-0.09262,2025-03-24,Low,Demonstration,500-1000,Local branch,89,3812,8.1,0.401,2,No,Linked to a wider pattern of activity across the region according to partner organisations
Demonstration in Newcastle #115,Newcastle,54.91284,-1.60926,2014-10-25,Moderate,Demonstration,100-500,Partner organisation,131,17565,77.8,0.742,3,No,Details unverified — cross-check with the regional organiser before publishing anywhere
Harassment in Stoke-on-Trent #116,Stoke-on-Trent,52.98965,-2.18769,2009-09-07,,Harassment,1-10,Local branch,199,2301,39.5,0.254,3,No,Details unverified — cross-check with the regional organiser before publishing anywhere
Demonstration in Liverpool #117,Liverpool,53.39010,-2.98004,2013-02-08,,Demonstration,50-100,Press report,163,1686,16.0,0.357,3,No,Reported by a local member who witnessed the event first-hand and followed up with photos the next day
Vandalism in Aberdeen #118,Aberdeen,57.21582,-2.12229,2007-10-04,Critical,Vandalism,10-50,Press report,94,14018,35.4,0.707,5,No,
Assault in Glasgow #119,Glasgow,55.90357,-4.23900,2017-04-17,Low,Assault,1-10,Anonymous tip,162,17306,73.9,0.628,4,Yes,Second occurrence at this location this year; residents have asked for a coordinated response
Banner drop in Swansea #120,Swansea,51.55202,-4.00532,2017-04-04,Moderate,Banner drop,50-100,Press report,55,10635,35.2,0.344,5,Yes,Details unverified — cross-check with the regional organiser before publishing anywhere
Vandalism in Leeds #121,Leeds,53.75896,-1.56084,2020-04-07,High,Vandalism,50-100,Local branch,9,12943,63.8,0.478,1,Yes,Reported by a local member who witnessed the event first-hand and followed up with photos the next day
Stickering in Bristol #122,Bristol,51.52399,-2.60653,2016-02-19,,Stickering,1-10,Social media,152,14238,96.8,0.295,1,No,
Assault in Edinburgh #123,Edinburgh,56.05236,-3.15788,2025-11-13,High,Assault,100-500,Press report,45,1254,30.8,0.833,1,Yes,
Stickering in Liverpool #124,Liverpool,53.40137,-2.99260,2026-04-24,High,Stickering,500-1000,Press report,104,17137,44.4,0.160,5,Yes,Second occurrence at this location this year; residents have asked for a coordinated response
Demonstration in Manchester #125,Manchester,53.47394,-2.21957,2019-07-16,Moderate,Demonstration,500-1000,Social media,94,19179,92.0,0.213,4,Yes,Details unverified — cross-check with the regional organiser before publishing anywhere
Leafleting in Manchester #126,Manchester,53.51063,-2.33777,2025-11-15,Critical,Leafleting,1-10,Local branch,194,13869,31.2,0.363,5,,
Assault in Glasgow #127,Glasgow,55.83479,-4.21017,2019-05-26,High,Assault,100-500,Social media,69,9148,70.7,0.723,3,No,
Demonstration in Sheffield #128,Sheffield,53.31492,-1.46220,2003-03-06,High,Demonstration,10-50,Local branch,7,5878,97.8,0.564,5,,Council contacted; awaiting a response about CCTV coverage of the surrounding streets
Vandalism in Plymouth #129,Plymouth,50.47358,-4.18986,2000-04-15,Low,Vandalism,50-100,Social media,142,874,82.2,0.877,1,,Reported by a local member who witnessed the event first-hand and followed up with photos the next day
Stickering in Leicester #130,Leicester,52.72230,-1.21201,2009-05-21,High,Stickering,500-1000,Partner organisation,71,15198,66.6,0.454,3,Yes,
Harassment in Liverpool #131,Liverpool,53.38159,-2.95024,2003-11-21,Critical,Harassment,100-500,Social media,140,7045,24.2,0.977,3,No,Second occurrence at this location this year; residents have asked for a coordinated response
Online abuse in Hull #132,Hull,53.78607,-0.25290,2010-07-06,High,Online abuse,10-50,Anonymous tip,179,7728,44.8,0.206,4,No,Details unverified — cross-check with the regional organiser before publishing anywhere
Assault in Sheffield #133,Sheffield,53.38120,-1.48011,2006-04-15,Low,Assault,100-500,Local branch,32,2995,71.5,0.330,3,,Council contacted; awaiting a response about CCTV coverage of the surrounding streets
Harassment in Belfast #134,Belfast,54.55992,-5.91220,2024-01-27,Critical,Harassment,N/A,Social media,152,10678,95.4,0.922,5,Yes,Linked to a wider pattern of activity across the region according to partner organisations
Banner drop in London #135,London,51.52466,-0.16661,2007-11-03,Moderate,Banner drop,500-1000,Anonymous tip,72,1991,20.6,0.926,2,No,Details unverified — cross-check with the regional organiser before publishing anywhere
Assault in Dundee #136,Dundee,56.41380,-3.00727,2022-01-18,Low,Assault,1-10,Press report,196,10192,36.8,0.314,3,Yes,Details unverified — cross-check with the regional organiser before publishing anywhere
Demonstration in Exeter #137,Exeter,50.70699,-3.59053,2020-05-21,Moderate,Demonstration,1-10,Social media,138,5792,90.4,0.601,5,No,Reported by a local member who witnessed the event first-hand and followed up with photos the next day
Harassment in Brighton #138,Brighton,50.82180,-0.13475,2007-03-17,Critical,Harassment,50-100,Anonymous tip,138,12925,8.7,0.253,1,No,Reported by a local member who witnessed the event first-hand and followed up with photos the next day
Demonstration in Sheffield #139,Sheffield,53.36327,-1.46947,2012-06-09,Low,Demonstration,10-50,Local branch,51,2339,73.7,0.031,4,Yes,Second occurrence at this location this year; residents have asked for a coordinated response
Vandalism in Glasgow #140,Glasgow,55.79074,-4.24584,2005-12-06,High,Vandalism,10-50,Local branch,141,2614,21.1,0.456,1,Yes,Council contacted; awaiting a response about CCTV coverage of the surrounding streets
Online abuse in Birmingham #141,Birmingham,52.46461,-1.92290,2005-12-13,High,Online abuse,100-500,Social media,9,19022,9.5,0.979,3,,Details unverified — cross-check with the regional organiser before publishing anywhere
Harassment in Sheffield #142,Sheffield,53.39202,-1.46925,2012-09-11,Moderate,Harassment,N/A,Local branch,31,5476,36.3,0.711,5,No,Linked to a wider pattern of activity across the region according to partner organisations
Vandalism in Sheffield #143,Sheffield,53.30975,-1.58684,2022-08-15,High,Vandalism,10-50,Local branch,39,13224,28.6,0.910,5,Yes,
Vandalism in Brighton #144,Brighton,50.85821,-0.09970,2019-05-02,High,Vandalism,500-1000,Partner organisation,142,8644,51.6,0.634,1,Yes,Details unverified — cross-check with the regional organiser before publishing anywhere
Assault in Stoke-on-Trent #145,Stoke-on-Trent,52.99470,-2.18244,2010-12-08,High,Assault,N/A,Social media,109,3611,5.9,0.305,5,No,Reported by a local member who witnessed the event first-hand and followed up with photos the next day
Demonstration in Birmingham #146,Birmingham,52.40754,-1.76891,2012-09-24,High,Demonstration,N/A,Anonymous tip,190,419,92.3,0.895,5,Yes,Linked to a wider pattern of activity across the region according to partner organisations
Banner drop in Sheffield #147,Sheffield,53.47864,-1.52594,2005-01-03,High,Banner drop,1-10,Press report,84,13572,85.5,0.444,2,No,
Harassment in Liverpool #148,Liverpool,53.39823,-2.98232,2009-09-09,Moderate,Harassment,50-100,Press report,50,12762,58.5,0.589,3,Yes,Council contacted; awaiting a response about CCTV coverage of the surrounding streets
